"Atividade";"Template";"Variavel";"Tipo_Variavel";;;;;;
"Register request";"Request PROC.2026.00000423 was registered by Diogo Almeida for project Student Portal, with an estimated amount of 6.485,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"6485,75 €";"amount";"PROC.2026.00000423";"process_id";"Student Portal";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00000423 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00000423";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00000423, in the amount of 6.485,75€, under budget record BUD.2026.00000418. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"6485,75 €";"amount";"BUD.2026.00000418";"budget_id";"PROC.2026.00000423";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00000423, in the amount of 6.485,75€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"6485,75 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00000423";"process_id";;
"Commit expense";"Commitment COM.2026.00000481 was generated for process PROC.2026.00000423, in the amount of 6.485,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"6485,75 €";"amount";"COM.2026.00000481";"commitment_id";"PROC.2026.00000423";"process_id";;
"Issue order";"Order ORD.2026.00000449 was issued for process PROC.2026.00000423. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00000449";"order_id";"PROC.2026.00000423";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00000423. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00000423";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00000423 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00000423";"process_id";;;;;;
"Register request";"Request PROC.2026.00000541 was registered by Alice Martins for project Digital Campus, with an estimated amount of 4.385,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"4385,25 €";"amount";"PROC.2026.00000541";"process_id";"Digital Campus";"project";"Alice Martins";"requester"
"Validate request";"The request PROC.2026.00000541 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00000541";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00000541, in the amount of 4.385,25€, under budget record BUD.2026.00000579. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"4385,25 €";"amount";"BUD.2026.00000579";"budget_id";"PROC.2026.00000541";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00000541, in the amount of 4.385,25€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"4385,25 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00000541";"process_id";;
"Commit expense";"The expense associated with process PROC.2026.00000541 was committed under reference COM.2026.00000530 for project Digital Campus. This step records the authorized amount in the financial workflow and enables the procurement activity to continue with the issuing of the order.";"COM.2026.00000530";"commitment_id";"PROC.2026.00000541";"process_id";"Digital Campus";"project";;
"Issue order";"Order ORD.2026.00000516 was issued for process PROC.2026.00000541. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00000516";"order_id";"PROC.2026.00000541";"process_id";;;;
"Notify requester";"Requester Alice Martins was notified about the outcome of process PROC.2026.00000541. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00000541";"process_id";"Alice Martins";"requester";;;;
"Close";"Process PROC.2026.00000541 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00000541";"process_id";;;;;;
"Register request";"Request PROC.2026.00000667 was registered by Diogo Almeida for project Secure Archive, with an estimated amount of 6.464,00€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"6464,00 €";"amount";"PROC.2026.00000667";"process_id";"Secure Archive";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00000667 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00000667";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00000667, in the amount of 6.464,00€, under budget record BUD.2026.00000636. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"6464,00 €";"amount";"BUD.2026.00000636";"budget_id";"PROC.2026.00000667";"process_id";;
"Authorize expense";"Expense authorization is granted for process PROC.2026.00000667, corresponding to the amount of 6.464,00€. The decision is supported by the previously validated information and by the applicable legal reference Law 35/2014, allowing the financial commitment to be generated.";"6464,00 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00000667";"process_id";;
"Commit expense";"Commitment COM.2026.00000682 was generated for process PROC.2026.00000667, in the amount of 6.464,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"6464,00 €";"amount";"COM.2026.00000682";"commitment_id";"PROC.2026.00000667";"process_id";;
"Issue order";"Order ORD.2026.00000613 was issued for process PROC.2026.00000667. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00000613";"order_id";"PROC.2026.00000667";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00000667. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00000667";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00000667 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00000667";"process_id";;;;;;
"Register request";"Request PROC.2026.00000795 was registered by Diogo Almeida for project Student Portal, with an estimated amount of 7.541,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"7541,75 €";"amount";"PROC.2026.00000795";"process_id";"Student Portal";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00000795 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00000795";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00000795, in the amount of 7.541,75€, under budget record BUD.2026.00000753. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"7541,75 €";"amount";"BUD.2026.00000753";"budget_id";"PROC.2026.00000795";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00000795, in the amount of 7.541,75€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"7541,75 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00000795";"process_id";;
"Commit expense";"Commitment COM.2026.00000714 was generated for process PROC.2026.00000795, in the amount of 7.541,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"7541,75 €";"amount";"COM.2026.00000714";"commitment_id";"PROC.2026.00000795";"process_id";;
"Issue order";"Order ORD.2026.00000738 was issued for process PROC.2026.00000795. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00000738";"order_id";"PROC.2026.00000795";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00000795. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00000795";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Administrative closure was recorded for process PROC.2026.00000795. The case has completed the prescribed sequence of validation, budget verification, authorization, commitment, order issuing, and notification, and it is now considered finalized for operational and reporting purposes.";"PROC.2026.00000795";"process_id";;;;;;
"Register request";"The case PROC.2026.00000879 was opened for project Digital Campus, with the initial amount recorded as 2.662,25€. The submitted information was accepted for preliminary registration, and the process was made available for formal validation before any budgetary or authorization steps are performed.";"2662,25 €";"amount";"PROC.2026.00000879";"process_id";"Digital Campus";"project";;
"Validate request";"The request PROC.2026.00000879 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00000879";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00000879, in the amount of 2.662,25€, under budget record BUD.2026.00000848. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"2662,25 €";"amount";"BUD.2026.00000848";"budget_id";"PROC.2026.00000879";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00000879, in the amount of 2.662,25€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"2662,25 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00000879";"process_id";;
"Commit expense";"The expense associated with process PROC.2026.00000879 was committed under reference COM.2026.00000818 for project Digital Campus. This step records the authorized amount in the financial workflow and enables the procurement activity to continue with the issuing of the order.";"COM.2026.00000818";"commitment_id";"PROC.2026.00000879";"process_id";"Digital Campus";"project";;
"Issue order";"Order ORD.2026.00000881 was issued for process PROC.2026.00000879. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00000881";"order_id";"PROC.2026.00000879";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00000879. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00000879";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00000879 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00000879";"process_id";;;;;;
"Register request";"Request PROC.2026.00000952 was registered by Diogo Almeida for project Student Portal, with an estimated amount of 3.282,00€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"3282,00 €";"amount";"PROC.2026.00000952";"process_id";"Student Portal";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00000952 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00000952";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00000952, in the amount of 3.282,00€, under budget record BUD.2026.00000979. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"3282,00 €";"amount";"BUD.2026.00000979";"budget_id";"PROC.2026.00000952";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00000952, in the amount of 3.282,00€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"3282,00 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00000952";"process_id";;
"Commit expense";"Commitment COM.2026.00000987 was generated for process PROC.2026.00000952, in the amount of 3.282,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"3282,00 €";"amount";"COM.2026.00000987";"commitment_id";"PROC.2026.00000952";"process_id";;
"Issue order";"Order ORD.2026.00000987 was issued for process PROC.2026.00000952. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00000987";"order_id";"PROC.2026.00000952";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00000952. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00000952";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Administrative closure was recorded for process PROC.2026.00000952. The case has completed the prescribed sequence of validation, budget verification, authorization, commitment, order issuing, and notification, and it is now considered finalized for operational and reporting purposes.";"PROC.2026.00000952";"process_id";;;;;;
"Register request";"Request PROC.2026.00001080 was registered by Clara Reis for project Secure Archive, with an estimated amount of 3.471,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"3471,75 €";"amount";"PROC.2026.00001080";"process_id";"Secure Archive";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00001080 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00001080";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00001080, in the amount of 3.471,75€, under budget record BUD.2026.00001013. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"3471,75 €";"amount";"BUD.2026.00001013";"budget_id";"PROC.2026.00001080";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00001080, in the amount of 3.471,75€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"3471,75 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00001080";"process_id";;
"Commit expense";"Commitment COM.2026.00001067 was generated for process PROC.2026.00001080, in the amount of 3.471,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"3471,75 €";"amount";"COM.2026.00001067";"commitment_id";"PROC.2026.00001080";"process_id";;
"Issue order";"Order ORD.2026.00001087 was issued for process PROC.2026.00001080. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00001087";"order_id";"PROC.2026.00001080";"process_id";;;;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00001080. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00001080";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00001080 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00001080";"process_id";;;;;;
"Register request";"Request PROC.2026.00001125 was registered by Clara Reis for project Digital Campus, with an estimated amount of 6.161,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"6161,75 €";"amount";"PROC.2026.00001125";"process_id";"Digital Campus";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00001125 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00001125";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00001125, in the amount of 6.161,75€, under budget record BUD.2026.00001123. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"6161,75 €";"amount";"BUD.2026.00001123";"budget_id";"PROC.2026.00001125";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00001125, in the amount of 6.161,75€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"6161,75 €";"amount";"Article 16";"legal_ref";"PROC.2026.00001125";"process_id";;
"Commit expense";"Commitment COM.2026.00001195 was generated for process PROC.2026.00001125, in the amount of 6.161,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"6161,75 €";"amount";"COM.2026.00001195";"commitment_id";"PROC.2026.00001125";"process_id";;
"Issue order";"Order ORD.2026.00001177 was issued for process PROC.2026.00001125. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00001177";"order_id";"PROC.2026.00001125";"process_id";;;;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00001125. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00001125";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00001125 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00001125";"process_id";;;;;;
"Register request";"Request PROC.2026.00001262 was registered by Clara Reis for project Digital Campus, with an estimated amount of 2.746,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"2746,75 €";"amount";"PROC.2026.00001262";"process_id";"Digital Campus";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00001262 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00001262";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00001262, in the amount of 2.746,75€, under budget record BUD.2026.00001250. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"2746,75 €";"amount";"BUD.2026.00001250";"budget_id";"PROC.2026.00001262";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00001262, in the amount of 2.746,75€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"2746,75 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00001262";"process_id";;
"Commit expense";"Commitment COM.2026.00001232 was generated for process PROC.2026.00001262, in the amount of 2.746,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"2746,75 €";"amount";"COM.2026.00001232";"commitment_id";"PROC.2026.00001262";"process_id";;
"Issue order";"Order ORD.2026.00001277 was issued for process PROC.2026.00001262. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00001277";"order_id";"PROC.2026.00001262";"process_id";;;;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00001262. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00001262";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00001262 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00001262";"process_id";;;;;;
"Register request";"Request PROC.2026.00001381 was registered by Alice Martins for project Secure Archive, with an estimated amount of 7.158,50€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"7158,50 €";"amount";"PROC.2026.00001381";"process_id";"Secure Archive";"project";"Alice Martins";"requester"
"Validate request";"The request PROC.2026.00001381 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00001381";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00001381, in the amount of 7.158,50€, under budget record BUD.2026.00001347. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"7158,50 €";"amount";"BUD.2026.00001347";"budget_id";"PROC.2026.00001381";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00001381, in the amount of 7.158,50€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"7158,50 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00001381";"process_id";;
"Commit expense";"The expense associated with process PROC.2026.00001381 was committed under reference COM.2026.00001336 for project Secure Archive. This step records the authorized amount in the financial workflow and enables the procurement activity to continue with the issuing of the order.";"COM.2026.00001336";"commitment_id";"PROC.2026.00001381";"process_id";"Secure Archive";"project";;
"Issue order";"Order ORD.2026.00001390 was issued for process PROC.2026.00001381. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00001390";"order_id";"PROC.2026.00001381";"process_id";;;;
"Notify requester";"Requester Alice Martins was notified about the outcome of process PROC.2026.00001381. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00001381";"process_id";"Alice Martins";"requester";;;;
