"benchmark_log_id";"case_id";"event_index";"activity";"start_time";"end_time";"role";"resource";"text_content";"word_count";"template_id";"template_family";"slot_schema_json";"slot_values_json";"is_deviation";"deviation_type";"ground_truth_next_activity";"process_id";"regime"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00002";"7";"Notify requester";"2026-01-05 15:12:00";"2026-01-05 15:32:00";"Administrative Officer";"João Ribeiro";"Requester Alice Martins was notified about the outcome of process PROC.2026.00000255. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"41";"NOT_T1";"NOT";"[""PROCESS_ID"", ""REQUESTER""]";"{""PROCESS_ID"": ""PROC.2026.00000255"", ""REQUESTER"": ""Alice Martins""}";"0";"none";"Close";"PROC.2026.00000255";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00002";"8";"Close";"2026-01-05 16:38:00";"2026-01-05 16:57:00";"Administrative Officer";"Ana Silva";"Process PROC.2026.00000255 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"41";"CLO_T1";"CLO";"[""PROCESS_ID""]";"{""PROCESS_ID"": ""PROC.2026.00000255""}";"0";"none";"<END>";"PROC.2026.00000255";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00003";"1";"Register request";"2026-01-05 09:13:00";"2026-01-05 09:47:00";"Administrative Officer";"João Ribeiro";"Request PROC.2026.00000316 was registered by Diogo Almeida for project Secure Archive, with an estimated amount of 5.296,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"47";"REG_T1";"REG";"[""AMOUNT"", ""PROCESS_ID"", ""PROJECT"", ""REQUESTER""]";"{""AMOUNT"": ""5.296,25€"", ""PROCESS_ID"": ""PROC.2026.00000316"", ""PROJECT"": ""Secure Archive"", ""REQUESTER"": ""Diogo Almeida""}";"0";"none";"Validate request";"PROC.2026.00000316";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00003";"2";"Validate request";"2026-01-05 10:00:00";"2026-01-05 10:25:00";"Case Manager";"Paulo Santos";"The request PROC.2026.00000316 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"45";"VAL_T1";"VAL";"[""PROCESS_ID""]";"{""PROCESS_ID"": ""PROC.2026.00000316""}";"0";"none";"Check budget";"PROC.2026.00000316";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00003";"3";"Check budget";"2026-01-05 11:29:00";"2026-01-05 11:51:00";"Financial Officer";"Luís Ferreira";"Budget availability was confirmed for process PROC.2026.00000316, in the amount of 5.296,25€, under budget record BUD.2026.00000333. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"44";"BUD_T1";"BUD";"[""AMOUNT"", ""BUDGET_ID"", ""PROCESS_ID""]";"{""AMOUNT"": ""5.296,25€"", ""BUDGET_ID"": ""BUD.2026.00000333"", ""PROCESS_ID"": ""PROC.2026.00000316""}";"0";"none";"Authorize expense";"PROC.2026.00000316";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00003";"4";"Authorize expense";"2026-01-05 12:07:00";"2026-01-05 12:41:00";"Director";"Rui Carvalho";"I authorize the expense for process PROC.2026.00000316, in the amount of 5.296,25€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"43";"AUT_T1";"AUT";"[""AMOUNT"", ""LEGAL_REF"", ""PROCESS_ID""]";"{""AMOUNT"": ""5.296,25€"", ""LEGAL_REF"": ""Law 35/2014"", ""PROCESS_ID"": ""PROC.2026.00000316""}";"0";"none";"Commit expense";"PROC.2026.00000316";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00003";"5";"Commit expense";"2026-01-05 13:07:00";"2026-01-05 13:40:00";"Financial Officer";"Luís Ferreira";"Commitment COM.2026.00000384 was generated for process PROC.2026.00000316, in the amount of 5.296,25€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"46";"COM_T1";"COM";"[""AMOUNT"", ""COMMITMENT_ID"", ""PROCESS_ID""]";"{""AMOUNT"": ""5.296,25€"", ""COMMITMENT_ID"": ""COM.2026.00000384"", ""PROCESS_ID"": ""PROC.2026.00000316""}";"0";"none";"Issue order";"PROC.2026.00000316";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00003";"6";"Issue order";"2026-01-05 14:42:00";"2026-01-05 15:04:00";"Procurement Officer";"Nuno Pinto";"Order ORD.2026.00000384 was issued for process PROC.2026.00000316. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"44";"ORD_T1";"ORD";"[""ORDER_ID"", ""PROCESS_ID""]";"{""ORDER_ID"": ""ORD.2026.00000384"", ""PROCESS_ID"": ""PROC.2026.00000316""}";"0";"none";"Notify requester";"PROC.2026.00000316";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00003";"7";"Notify requester";"2026-01-05 15:21:00";"2026-01-05 15:40:00";"Administrative Officer";"Ana Silva";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00000316. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"41";"NOT_T1";"NOT";"[""PROCESS_ID"", ""REQUESTER""]";"{""PROCESS_ID"": ""PROC.2026.00000316"", ""REQUESTER"": ""Diogo Almeida""}";"0";"none";"Close";"PROC.2026.00000316";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00003";"8";"Close";"2026-01-05 16:17:00";"2026-01-05 16:30:00";"Administrative Officer";"Ana Silva";"Process PROC.2026.00000316 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"41";"CLO_T1";"CLO";"[""PROCESS_ID""]";"{""PROCESS_ID"": ""PROC.2026.00000316""}";"0";"none";"<END>";"PROC.2026.00000316";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00004";"1";"Register request";"2026-01-05 09:39:00";"2026-01-05 10:00:00";"Administrative Officer";"Ana Silva";"Request PROC.2026.00000423 was registered by Diogo Almeida for project Student Portal, with an estimated amount of 6.485,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"47";"REG_T1";"REG";"[""AMOUNT"", ""PROCESS_ID"", ""PROJECT"", ""REQUESTER""]";"{""AMOUNT"": ""6.485,75€"", ""PROCESS_ID"": ""PROC.2026.00000423"", ""PROJECT"": ""Student Portal"", ""REQUESTER"": ""Diogo Almeida""}";"0";"none";"Validate request";"PROC.2026.00000423";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00004";"2";"Validate request";"2026-01-05 10:27:00";"2026-01-05 10:54:00";"Case Manager";"Paulo Santos";"The request PROC.2026.00000423 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"45";"VAL_T1";"VAL";"[""PROCESS_ID""]";"{""PROCESS_ID"": ""PROC.2026.00000423""}";"0";"none";"Check budget";"PROC.2026.00000423";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00004";"3";"Check budget";"2026-01-05 11:10:00";"2026-01-05 11:15:00";"Financial Officer";"Sofia Lopes";"Budget availability was confirmed for process PROC.2026.00000423, in the amount of 6.485,75€, under budget record BUD.2026.00000418. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"44";"BUD_T1";"BUD";"[""AMOUNT"", ""BUDGET_ID"", ""PROCESS_ID""]";"{""AMOUNT"": ""6.485,75€"", ""BUDGET_ID"": ""BUD.2026.00000418"", ""PROCESS_ID"": ""PROC.2026.00000423""}";"0";"none";"Authorize expense";"PROC.2026.00000423";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00004";"4";"Authorize expense";"2026-01-05 12:10:00";"2026-01-05 12:19:00";"Director";"Rui Carvalho";"I authorize the expense for process PROC.2026.00000423, in the amount of 6.485,75€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"43";"AUT_T1";"AUT";"[""AMOUNT"", ""LEGAL_REF"", ""PROCESS_ID""]";"{""AMOUNT"": ""6.485,75€"", ""LEGAL_REF"": ""Law 35/2014"", ""PROCESS_ID"": ""PROC.2026.00000423""}";"0";"none";"Commit expense";"PROC.2026.00000423";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00004";"5";"Commit expense";"2026-01-05 12:32:00";"2026-01-05 13:05:00";"Financial Officer";"Luís Ferreira";"Commitment COM.2026.00000481 was generated for process PROC.2026.00000423, in the amount of 6.485,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"46";"COM_T1";"COM";"[""AMOUNT"", ""COMMITMENT_ID"", ""PROCESS_ID""]";"{""AMOUNT"": ""6.485,75€"", ""COMMITMENT_ID"": ""COM.2026.00000481"", ""PROCESS_ID"": ""PROC.2026.00000423""}";"0";"none";"Issue order";"PROC.2026.00000423";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00004";"6";"Issue order";"2026-01-05 14:00:00";"2026-01-05 14:14:00";"Procurement Officer";"Beatriz Correia";"Order ORD.2026.00000449 was issued for process PROC.2026.00000423. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"44";"ORD_T1";"ORD";"[""ORDER_ID"", ""PROCESS_ID""]";"{""ORDER_ID"": ""ORD.2026.00000449"", ""PROCESS_ID"": ""PROC.2026.00000423""}";"0";"none";"Notify requester";"PROC.2026.00000423";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00004";"7";"Notify requester";"2026-01-05 15:12:00";"2026-01-05 15:22:00";"Administrative Officer";"João Ribeiro";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00000423. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"41";"NOT_T1";"NOT";"[""PROCESS_ID"", ""REQUESTER""]";"{""PROCESS_ID"": ""PROC.2026.00000423"", ""REQUESTER"": ""Diogo Almeida""}";"0";"none";"Close";"PROC.2026.00000423";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00004";"8";"Close";"2026-01-05 15:36:00";"2026-01-05 15:46:00";"Administrative Officer";"João Ribeiro";"Process PROC.2026.00000423 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"41";"CLO_T1";"CLO";"[""PROCESS_ID""]";"{""PROCESS_ID"": ""PROC.2026.00000423""}";"0";"none";"<END>";"PROC.2026.00000423";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00005";"1";"Register request";"2026-01-06 10:25:00";"2026-01-06 10:36:00";"Administrative Officer";"Ana Silva";"Request PROC.2026.00000541 was registered by Alice Martins for project Digital Campus, with an estimated amount of 4.385,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"47";"REG_T1";"REG";"[""AMOUNT"", ""PROCESS_ID"", ""PROJECT"", ""REQUESTER""]";"{""AMOUNT"": ""4.385,25€"", ""PROCESS_ID"": ""PROC.2026.00000541"", ""PROJECT"": ""Digital Campus"", ""REQUESTER"": ""Alice Martins""}";"0";"none";"Validate request";"PROC.2026.00000541";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00005";"2";"Validate request";"2026-01-06 11:33:00";"2026-01-06 11:38:00";"Case Manager";"Paulo Santos";"The request PROC.2026.00000541 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"45";"VAL_T1";"VAL";"[""PROCESS_ID""]";"{""PROCESS_ID"": ""PROC.2026.00000541""}";"0";"none";"Check budget";"PROC.2026.00000541";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00005";"3";"Check budget";"2026-01-06 12:46:00";"2026-01-06 12:59:00";"Financial Officer";"Luís Ferreira";"Budget availability was confirmed for process PROC.2026.00000541, in the amount of 4.385,25€, under budget record BUD.2026.00000579. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"44";"BUD_T1";"BUD";"[""AMOUNT"", ""BUDGET_ID"", ""PROCESS_ID""]";"{""AMOUNT"": ""4.385,25€"", ""BUDGET_ID"": ""BUD.2026.00000579"", ""PROCESS_ID"": ""PROC.2026.00000541""}";"0";"none";"Authorize expense";"PROC.2026.00000541";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00005";"4";"Authorize expense";"2026-01-06 13:34:00";"2026-01-06 13:41:00";"Director";"Rui Carvalho";"I authorize the expense for process PROC.2026.00000541, in the amount of 4.385,25€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"43";"AUT_T1";"AUT";"[""AMOUNT"", ""LEGAL_REF"", ""PROCESS_ID""]";"{""AMOUNT"": ""4.385,25€"", ""LEGAL_REF"": ""Law 35/2014"", ""PROCESS_ID"": ""PROC.2026.00000541""}";"0";"none";"Commit expense";"PROC.2026.00000541";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00005";"5";"Commit expense";"2026-01-06 14:47:00";"2026-01-06 15:10:00";"Financial Officer";"Luís Ferreira";"The expense associated with process PROC.2026.00000541 was committed under reference COM.2026.00000530 for project Digital Campus. This step records the authorized amount in the financial workflow and enables the procurement activity to continue with the issuing of the order.";"42";"COM_T2";"COM";"[""COMMITMENT_ID"", ""PROCESS_ID"", ""PROJECT""]";"{""COMMITMENT_ID"": ""COM.2026.00000530"", ""PROCESS_ID"": ""PROC.2026.00000541"", ""PROJECT"": ""Digital Campus""}";"0";"none";"Issue order";"PROC.2026.00000541";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00005";"6";"Issue order";"2026-01-06 15:58:00";"2026-01-06 16:30:00";"Procurement Officer";"Beatriz Correia";"Order ORD.2026.00000516 was issued for process PROC.2026.00000541. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"44";"ORD_T1";"ORD";"[""ORDER_ID"", ""PROCESS_ID""]";"{""ORDER_ID"": ""ORD.2026.00000516"", ""PROCESS_ID"": ""PROC.2026.00000541""}";"0";"none";"Notify requester";"PROC.2026.00000541";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00005";"7";"Notify requester";"2026-01-06 17:19:00";"2026-01-06 17:24:00";"Administrative Officer";"Ana Silva";"Requester Alice Martins was notified about the outcome of process PROC.2026.00000541. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"41";"NOT_T1";"NOT";"[""PROCESS_ID"", ""REQUESTER""]";"{""PROCESS_ID"": ""PROC.2026.00000541"", ""REQUESTER"": ""Alice Martins""}";"0";"none";"Close";"PROC.2026.00000541";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00005";"8";"Close";"2026-01-06 18:17:00";"2026-01-06 18:48:00";"Administrative Officer";"Ana Silva";"Process PROC.2026.00000541 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"41";"CLO_T1";"CLO";"[""PROCESS_ID""]";"{""PROCESS_ID"": ""PROC.2026.00000541""}";"0";"none";"<END>";"PROC.2026.00000541";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00006";"1";"Register request";"2026-01-06 10:13:00";"2026-01-06 10:36:00";"Administrative Officer";"João Ribeiro";"Request PROC.2026.00000667 was registered by Diogo Almeida for project Secure Archive, with an estimated amount of 6.464,00€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"47";"REG_T1";"REG";"[""AMOUNT"", ""PROCESS_ID"", ""PROJECT"", ""REQUESTER""]";"{""AMOUNT"": ""6.464,00€"", ""PROCESS_ID"": ""PROC.2026.00000667"", ""PROJECT"": ""Secure Archive"", ""REQUESTER"": ""Diogo Almeida""}";"0";"none";"Validate request";"PROC.2026.00000667";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00006";"2";"Validate request";"2026-01-06 11:02:00";"2026-01-06 11:25:00";"Case Manager";"Paulo Santos";"The request PROC.2026.00000667 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"45";"VAL_T1";"VAL";"[""PROCESS_ID""]";"{""PROCESS_ID"": ""PROC.2026.00000667""}";"0";"none";"Check budget";"PROC.2026.00000667";"controlled_reference_prescribed"
